"Part";"Value";"Device";"Package";"Description";"FUNC";"PROD_ID";"SKU";"VALUE";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"C9";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"";"10uF";
"C10";"68uF";"68UF-10V-10%(TANT)";"EIA3528";"CAP-10790";"";"CAP-10790";"";"68uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-08053";"";"MBRA140";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"";"RED";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"";"GREEN";
"D4";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-08053";"";"MBRA140";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"JP1";"USBPCB_NOPASTE";"USBPCB_NOPASTE";"USB-A-PCB-NOPASTE";"USB Connectors";"";"";"";"";
"JP2";"DNP";"M12NO_SILK";"1X12_NO_SILK";"Header 12";"";"";"";"";
"JP3";"DNP";"M12NO_SILK";"1X12_NO_SILK";"Header 12";"";"";"";"";
"JP5";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP6";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP7";"DNP";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"";"CONN-09863";"PRT-09914";"";
"JP8";"DNP";"M04NO_SILK_ALL_ROUND";"1X04_NO_SILK_ALL_ROUND";"Header 4";"";"";"";"";
"L1";"47uH";"INDUCTORCR54-47UH";"CR54";"Inductors";"";"NDUC-10789";"";"47uH";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"Q1";"DMG2307L";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"";"TRANS-11308";"";"2.5A/30V";
"Q2";"MOSFET-NCHANNEL2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"";"TRANS-11151";"";"";
"R1";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";
"R2";"6.8K";"6.8KOHM1/10W1%(0603)";"0603-RES";"RES-08597";"";"RES-08597";"";"6.8K";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";
"R4";"2.2k";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"";"RES-08272";"";"2.2k";
"R5";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";
"R6";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";
"R7";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";
"R8";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";
"S1";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"Reset";"SWCH-08247";"";"";
