"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"0402-TIGHT";2;"2.2k";;;
2;"R5";"0402-TIGHT";1;"1k";;;
3;"C1";"0402-TIGHT";1;"0.1uF";;;
4;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
5;"D1";"LED-0402";1;"RED";;;
6;"U1";"BMP581";1;"BMP581";;;
7;"U$7,U$8";"#INT#0";2;"";;;
8;"FD4,FD1,FD2,FD3";"FIDUCIAL-MICRO";4;"FIDUCIALUFIDUCIAL";;;
9;"J2,J3";"1X01_1MM_NO_SILK";2;"";;;
10;"U$5,U$6";"#GND#0";2;"";;;
11;"LOGO4";"BLANK";1;"SFE_LOGO_NAMEBLANK";;;
12;"H1";"STAND-OFF";1;"STAND-OFF";;;
13;"J1";"JST04_1MM_RA";1;"QWIIC_RIGHT_ANGLE";;;
14;"R4,R3";"0402-TIGHT";2;"10K";;;
15;"U$1,U$2";"BMP5810";2;"";;;
16;"TP3,TP1,TP2,TP4";"PAD.03X.03";4;"TEST-POINT3";;;
17;"LOGO1";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
18;"LOGO2";"SFE_LOGO_FLAME_.1";1;"SFE_LOGO_FLAME.1_INCH";;;
19;"JP3";"SMT-JUMPER_2_NC_TRACE_SILK";1;"LED";;;
20;"U$3";"#I2C#0";1;"";;;
21;"U$10";"X460";1;"";;;
22;"U$9";"#LED#0";1;"";;;
23;"U$4";"#ADR#0";1;"";;;
24;"JP1";"SMT-JUMPER_3_1-NC_TRACE_SILK";1;"ADR";;;
25;"U$11";"0X470";1;"";;;
26;"JP2";"SMT-JUMPER_3_2-NC_TRACE_SILK";1;"I2C";;;
27;"LOGO3";"QWIIC_3MM";1;"QWIIC_LOGO_3MM";;;
