"Part";"Value";"Device";"Package";"Description";"";
"JP1";"Battery";"M02JST-PTH-2";"JST-2-PTH";"Header 2";"";
"JP2";"System";"M02JST-PTH-2";"JST-2-PTH";"Header 2";"";
"JP3";"";"M02PTH";"1X02";"Header 2";"";
"JP4";"";"M02PTH";"1X02";"Header 2";"";
"JP31";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"JP41";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"JP51";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"JP61";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"LED1";"Green";"LED10MM2";"LED10MM-2";"LEDs";"";
"R1";"330";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";
"RADJ";"10K";"TRIMPOT-PTH-KNOB";"3386U";"";"";
"TP1";"TP1";"M01PTH";"1X01";"Header 1";"";
"TP2";"TP2";"M01PTH";"1X01";"Header 1";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$2";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
"U1";"TL431";"TL431PTH";"TO-92";"";"";
