"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R8,R15,R19,R18";"0603";4;"100";;;
2;"Q1";"SOT23-3";1;"2.5A/30V/105mΩ";;;
3;"U$11,U$1,U$18,U$7";"3V31";4;"";;;
4;"J6,J3,J4,J2,J7,J8,J5,J1";"GATOR_MINI";8;"GATORGATOR_MINI";;;
5;"R7";"0603";1;"22k";;;
6;"R4,R17,R6,R21,R5,R22,R23,R9";"0603";8;"10k";;;
7;"D5,D4,D6";"SOD-323";3;"3.6V";;;
8;"H2,H1";"STAND-OFF-TIGHT";2;"STAND-OFFTIGHT";;;
9;"R16,R10,R13,R2";"0603";4;"1k";;;
10;"R11,R3,R14";"0603";3;"100k";;;
11;"U$3,U$12,U$8,U$19";"SDA2";4;"";;;
12;"C4,C3";"0603";2;"1.0uF";;;
13;"U$16";"VOLUME2";1;"";;;
14;"U$22";"ORDERING_INSTRUCTIONS";1;"";;;
15;"U2";"SO14";1;"LMV324";;;
16;"LOGO3";"SFE_LOGO_FLAME_.2";1;"SFE_LOGO_FLAME.2_INCH";;;
17;"U1";"MSOP10";1;"ADS1015";;;
18;"MIC1";"MIC-9.7MM";1;"MIC9.7MM";;;
19;"U$21";"HIGH0";1;"";;;
20;"U$14";"GATOR#MICROPHONE1";1;"";;;
21;"U$4";"PWR0";1;"";;;
22;"S1";"SWITCH_SP3T_SMD";1;"";;;
23;"D3";"LED-0603";1;"RED";;;
24;"FID3,FID4,FID2,FID1";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
25;"U$2,U$13,U$9,U$20";"SCL1";4;"";;;
26;"U$5,U$10,U$17,U$6";"GND0";4;"";;;
27;"C1,C2";"1206@1";2;"10uF";;;
28;"C5";"0603";1;"0.1uF";;;
29;"R12";"0603";1;"3.3k";;;
30;"U$15";"LOW1";1;"";;;
31;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
32;"R1";"0603";1;"2.2k";;;
33;"D1,D2";"SOD-523";2;"120mA/40V/370mV";;;
34;"R20";"0603";1;"1M";;;
35;"LOGO1";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
36;"U$24";"GATOR#MICROPHONE0";1;"";;;
37;"LOGO2";"SFE_LOGO_NAME_FLAME_.2";1;"SFE_LOGO_NAME_FLAME.2_INCH";;;
38;"TP1";"PAD.03X.03";1;"TEST-POINT3";;;
