"Part";"Value";"Device";"Package";"Description";"ALIAS";"AVAILABILITY";"CURRENT";"DESC";"DESCRIPTION";"DIGIKEYPN";"MF";"MPN";"PACKAGE";"POWER";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_ID";"TEMPHIGH";"TEMPLOW";"TOLERANCE";"VALUE";"VOLTHIGH";"VOLTLOW";
"C1";"15p";"CAP-15P-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 15PF 50V C0G/NPO 0402";"";"311-1017-1-ND";"Yageo";"CC0402JRNPO9BN150";"";"";"";"CAP-13063";"";"";"";"";"";"15p";"50V";"";
"C2";"15p";"CAP-15P-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 15PF 50V C0G/NPO 0402";"";"311-1017-1-ND";"Yageo";"CC0402JRNPO9BN150";"";"";"";"CAP-13063";"";"";"";"";"";"15p";"50V";"";
"C3";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
"C4";"10u";"CAP-10U-6.3V-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 10UF 6.3V X5R 0603";"";"587-5869-1-ND";"";"JMK107ABJ106MA-T";"";"";"";"CAP-11015";"";"";"";"";"";"10u";"6.3";"";
"C5";"10u";"CAP-10U-6.3V-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 10UF 6.3V X5R 0603";"";"587-5869-1-ND";"";"JMK107ABJ106MA-T";"";"";"";"CAP-11015";"";"";"";"";"";"10u";"6.3";"";
"C6";"0.1u";"CAP-0.1U-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 0.1UF 50V X5R 0402";"";"587-3499-1-ND";"Taiyo Yuden";"UMK105BJ104KV-F";"";"";"";"CAP-15083";"";"";"";"";"";"0.1u";"50V";"";
"C7";"10u";"CAP-10U-6.3V-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 10UF 6.3V X5R 0603";"";"587-5869-1-ND";"";"JMK107ABJ106MA-T";"";"";"";"CAP-11015";"";"";"";"";"";"10u";"6.3";"";
"C8";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
"C9";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
"C10";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
