"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";"VERSION";
"B1";"Buzzer";"BUZZER-SMD";"BUZZER-CCV";"Buzzer";"";"COMP-08568";"";"";"";"";
"C2";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"";"0.1uF";"";
"C3";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"";"0.1uF";"";
"C4";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"";"0.1uF";"";
"C5";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";"";
"C6";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";
"C7";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";
"C8";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";
"D1";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diode";"";"DIO-09886";"";"";"3A/40V/500mV";"";
"D2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"GREEN";"";
"D3";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LED";"";"DIO-09909";"";"";"Yellow";"";
"D4";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LED";"";"DIO-09909";"";"";"Yellow";"";
"D5";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"";"DIO-09912";"";"";"RED";"";
"D6";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"";"DIO-09912";"";"";"RED";"";
"D7";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"GREEN";"";
"D8";"BLUE";"LED-BLUE1206";"LED-1206";"Blue SMD LED";"";"DIO-09911";"";"";"BLUE";"";
"D9";"BLUE";"LED-BLUE1206";"LED-1206";"Blue SMD LED";"";"DIO-09911";"";"";"BLUE";"";
"D10";"XZM2CRKM2DGFBB45SCCB";"SUNLEDSMD1";"PLCC4SMDLED";"LED-RGB Common Cathode";"";"DIO-13722";"";"";"XZM2CRKM2DGFBB45SCCB";"";
