"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"0603";2;"100k";;;
2;"FD1,FD3,FD4,FD2";"FIDUCIAL-MICRO";4;"FIDUCIALUFIDUCIAL";;;
3;"U$15";"I2C-()";1;"";;;
4;"R2,R1";"0603";2;"4.7k";;;
5;"LOGO3";"SFE_LOGO_FLAME_.1";1;"SFE_LOGO_FLAME.1_INCH";;;
6;"@HOLE3,@HOLE2,@HOLE5,@HOLE1,@HOLE0,@HOLE4";"";6;"";;;
7;"U$1,U$2";"GND";2;"";;;
8;"U$9,U$10";"SCL";2;"";;;
9;"J4,J3";"1X02";2;"";;;
10;"JP1";"SMT-JUMPER_3_2-NC_TRACE_NO-SILK";1;"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";;;
11;"R6,R7";"FLEX_SENSOR";2;"FLEX_SENSOR-4.5"";;;
12;"U$16";"FINGER_10";1;"";;;
13;"U1";"MSOP10";1;"ADS1015";;;
14;"U4";"SO08";1;"LMV358";;;
15;"U$11";"(PWR)";1;"";;;
16;"D1";"LED-0603";1;"RED";;;
17;"U$17";"FINGER_21";1;"";;;
18;"U$7,U$8";"SDA";2;"";;;
19;"U$5,U$6";"3.3V";2;"";;;
20;"R5";"0603";1;"1k";;;
21;"J1,J2";"1X04_1MM_RA";2;"";;;
22;"C1";"0603";1;"0.1uF";;;
23;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
24;"JP3";"SMT-JUMPER_3_0-NO_TRACE_NO-SILK";1;"JUMPER-SMT_3_NO_NO_SILK";;;
25;"U$3";"3V3-TEXT";1;"";;;
26;"U$12";"SDA0";1;"";;;
27;"TP1,TP2";"PAD.03X.03";2;"TEST-POINT3";;;
28;"LOGO1";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
29;"U$4";"GND-TEXT-03";1;"";;;
30;"U$14";"QWIIC_FLEX_GLOVE0";1;"";;;
31;"U$13";"SCL2";1;"";;;
32;"JP2";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";1;"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";;;
33;"LOGO2";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
