"Part";"Value";"Device";"Package";"Description";"";
"JP1";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"Header 8";"";
"JP2";"";"M063.5MM-6";"SCREWTERMINAL-3.5MM-6";"Header 6";"";
"JP3";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"Header 4";"";
"JP4";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"Header 8";"";
"JP5";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"Header 8";"";
"JP6";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";
"JP7";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"JP8";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"LED1";"";"LED5MM";"LED5MM";"LEDs";"";
"R1";"330";"RESISTORPTH1";"AXIAL-0.3";"Resistor";"";
"S1";"Reset";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"";"";
"S2";"General";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"";"";
"U$1";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
"U1";"ARDUINO_SHIELD";"ARDUINO_SHIELDNOHOLES";"DUEMILANOVE_SHIELD_NOHOLES";"";"";
