Partlist

Exported from boardEagle.brd at 15/10/2022 22:35

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation
LED901   YELLOW                                    LED-805                              dp_devices.v6     (2362.20472 1850.3937) R270
LED902   YELLOW                                    LED-805                              dp_devices.v6     (3149.6063 1850.3937) R270
LED903   YELLOW                                    LED-805                              dp_devices.v6     (1574.80315 1850.3937) R90
LED904   Optional YELLOW                           LED-805                              dp_devices.v6     (787.40157 1850.3937) MR270
LED905   Optional YELLOW                           LED-805                              dp_devices.v6     (2362.20472 1850.3937) MR90
LED906   Optional YELLOW                           LED-805                              dp_devices.v6     (3149.6063 1850.3937) MR90
LED907   Optional YELLOW                           LED-805                              dp_devices.v6     (1574.80315 1850.3937) MR270
Q300     PMV65XP                                   SOT-23                               dp_devices.v6     (1470 275)            R90
Q301     DMMT3906W                                 SOT-363                              dp_devices.v6     (1475 140)            R90
R100     10K                                       R402                                 dp_devices.v6     (940 440)             R270
R101     10K                                       R402                                 dp_devices.v6     (1080 440)            R270
R200     0R                                        R402                                 dp_devices.v6     (2245 360)            R180
R201     0R                                        R402                                 dp_devices.v6     (2090 220)            R180
R202     10K                                       R402                                 dp_devices.v6     (2090 140)            R180
R203     25R                                       R402                                 dp_devices.v6     (1970 220)            R180
R204     10K                                       R402                                 dp_devices.v6     (1970 140)            R180
R300     99.22K                                    R402                                 dp_devices.v6     (435 460)             R90
R301     100K                                      R402                                 dp_devices.v6     (130 420)             R180
R302     10K                                       R603                                 dp_devices.v6     (1690 295)            R0
R303     65K                                       R603                                 dp_devices.v6     (1585 140)            R90
R304     100K                                      R603                                 dp_devices.v6     (1365 145)            R270
R305     10K                                       R603                                 dp_devices.v6     (1690 221)            R180
R306     0R                                        R603                                 dp_devices.v6     (500 105)             R180
R307     77.96K                                    R402                                 dp_devices.v6     (310 360)             R0
R308     10K                                       R402                                 dp_devices.v6     (410 360)             R0
R309     0R                                        R402                                 dp_devices.v6     (130 350)             R0
R310     10K                                       R402                                 dp_devices.v6     (570 330)             R270
R311     10K                                       R402                                 dp_devices.v6     (570 210)             R270
R400     100K                                      R402                                 dp_devices.v6     (3170 1785)           R0
R401     100K                                      R402                                 dp_devices.v6     (3160 655)            R0
R402     100K                                      R402                                 dp_devices.v6     (3050 1610)           R90
R403     100K                                      R402                                 dp_devices.v6     (3050 480)            R90
R404     1M                                        R402                                 dp_devices.v6     (3330 1725)           R270
R405     1M                                        R402                                 dp_devices.v6     (3330 480)            R90
R406     100K                                      R402                                 dp_devices.v6     (2770 1785)           R0
R407     100K                                      R402                                 dp_devices.v6     (2780 655)            R180
R408     100K                                      R402                                 dp_devices.v6     (2650 1610)           R90
R409     100K                                      R402                                 dp_devices.v6     (2660 480)            R90
R410     1M                                        R402                                 dp_devices.v6     (2940 1740)           R270
R411     1M                                        R402                                 dp_devices.v6     (2940 480)            R90
R412     100K                                      R402                                 dp_devices.v6     (3170 1445)           R0
R413     100K                                      R402                                 dp_devices.v6     (3170 325)            R0
R414     100K                                      R402                                 dp_devices.v6     (3040 1270)           R90
R415     100K                                      R402                                 dp_devices.v6     (3040 155)            R90
R416     1M                                        R402                                 dp_devices.v6     (3330 1385)           R270
R417     1M                                        R402                                 dp_devices.v6     (3330 150)            R90
R418     100K                                      R402                                 dp_devices.v6     (2780 1445)           R0
R419     100K                                      R402                                 dp_devices.v6     (2775 325)            R0
R420     100K                                      R402                                 dp_devices.v6     (2660 1270)           R90
R421     100K                                      R402                                 dp_devices.v6     (2650 155)            R90
R422     1M                                        R402                                 dp_devices.v6     (2945 1385)           R270
R423     1M                                        R402                                 dp_devices.v6     (2940 150)            R90
R424     220R                                      R402                                 dp_devices.v6     (3330 1610)           R90
R425     220R                                      R402                                 dp_devices.v6     (2940 1610)           R90
R426     220R                                      R402                                 dp_devices.v6     (3330 1270)           R90
R427     220R                                      R402                                 dp_devices.v6     (2945 1270)           R90
R428     220R                                      R402                                 dp_devices.v6     (3330 595)            R270
R429     220R                                      R402                                 dp_devices.v6     (2940 595)            R270
R430     220R                                      R402                                 dp_devices.v6     (3330 265)            R270
R431     220R                                      R402                                 dp_devices.v6     (2940 265)            R270
R700     10K                                       R402                                 dp_devices.v6     (1220 440)            R270
R701     10K                                       R402                                 dp_devices.v6     (1290 440)            R270
R702     10K                                       R402                                 dp_devices.v6     (2590 480)            R90
R800     1.5K                                      R402                                 dp_devices.v6     (549 1126.88976)      R90
R801     22R                                       R402                                 dp_devices.v6     (482 1126.88976)      R270
