"Part";"Value";"Device";"Package";"Description";"";
"C100";"22pF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C101";"22pF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C102";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C103";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C104";"1uF";"CAPACITOR_POL-SMC_A";"SMC_A";"Polarized capacitor in various packages";"";
"C105";"0.1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C106";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C107";"0.1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C108";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C109";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C110";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C111";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C112";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C113";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C114";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C115";"0.1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C116";"0.1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C200";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C201";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C202";"1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C203";"1.5nF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C204";"1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C205";"1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C300";"4.7uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C301";"4.7uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C302";"1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C303";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C304";"DNP";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C305";"4.7uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C306";"1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C307";"4.7uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C308";"1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C400";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C401";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C402";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C403";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C404";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C405";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C406";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C407";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
