"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FRAME1,FRAME2";"CREATIVE_COMMONS";2;"FRAME-LETTER";;;
2;"C5,C2,C4,C3,C1";"0603-CAP";5;"0.1uF";;;
3;"@HOLE1,@HOLE3,@HOLE0,@HOLE2";"";4;"";;;
4;"SJ1";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";1;"GPIO Reference Select";;;
5;"LOGO4,LOGO3";"SFE_LOGO_NAME_FLAME_.1";2;"SFE_LOGO_NAME_FLAME.1_INCH";;;
6;"LOGO1,LOGO2";"OSHW-LOGO-S";2;"OSHW-LOGOS";;;
7;"U4,U1";"UFDFN-20";2;"TXB0108";;;
8;"FID1,FID2,FID4,FID3";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
9;"JP1,JP2";"1X10";2;"M10"";;;
10;"U3";"DF40C-70DP-0.4(51)";1;"EDISON_CONNECTOR_FULLHEADER";;;
11;"U2";"EDISON_DAUGHTER";1;"EDISON_CONNECTOR_FULLMOUNTING_HOLES";;;
