"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$25,U$21,U$33,U$27,U$15,U$19,U$31,U$17,U$23,U$11,U$34,U$29,U$3,U$9";"PETAL_PAD_OFF";14;"";;;
2;"U$30,U$8,U$26,U$7,U$12,U$22,U$16,U$24,U$28,U$20,U$32,U$10,U$18";"PETAL_SPACE_OFF";13;"";;;
3;"LED7,LED9,LED8,LED6,LED4,LED5";"LED-0603";6;"WHITE";;;
4;"J11,J7,J1,J6,J4,J2,J10,J8,J9,J14,J5,J12,J13,J3";"PETAL-LONG-1-2SIDE";14;"SEWTAP_LONG-2SIDE";;;
5;"R7,R14,R1";"0603";3;"330";;;
6;"LED2";"LED-0603";1;"Yellow";;;
7;"U$44";"ORDERING_INSTRUCTIONS";1;"SPECIAL_INSTRUCTIONS-ORDERING";;;
8;"J15";"USB-MICROB-PTH";1;"AMP FCI 10103594-0001LF";;;
9;"R16,R5,R15,R4";"0402";4;"22";;;
10;"U1";"SOT23-5";1;"MCP73831";;;
11;"D1";"SMA-DIODE";1;"3A/40V/500mV";;;
12;"R13,R9,R12,R8,R11,R10";"0402";6;"470";;;
13;"JP2,JP3,JP4,JP1";"MICRO-FIDUCIAL";4;"FIDUCIALUFIDUCIAL";;;
14;"C2,C4,C3";"0402";3;"0.1uF";;;
15;"S2";"TACTILE_SWITCH_SMD_5.2MM";1;"!RESET";;;
16;"LED1";"LED-0603";1;"RED";;;
17;"J16";"JST-2-SMD";1;"";;;
18;"R3,R2";"0603";2;"10k";;;
19;"S1";"SWITCH_DPDT_SMD_AYZ0202";1;"";;;
20;"C7,C8,C6";"0603";3;"4.7uF";;;
21;"LED3";"LED-0603";1;"GREEN";;;
22;"U2";"SOT23-5";1;"3.3V";;;
23;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
24;"U$13,U$1";"LILYPAD-WEARABLES_LOGO-LILYPAD";2;"LILYLOGO_SHORT";;;
25;"Y1";"RESONATOR-SMD";1;"8MHz";;;
26;"U5";"QFN-44-PAD_1_1-LESS_PASTE";1;"32U4";;;
27;"R6";"0603";1;"2.2k";;;
28;"D10";"PLCC4SMDLED";1;"XZM2CRKM2DGFBB45SCCB";;;
29;"C5";"0402";1;"1.0uF";;;
30;"TP5,TP3,TP2,TP6,TP1,TP8,TP7,TP4";"PAD.03X.03";8;"TEST-POINT3";;;
31;"LOGO6";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
32;"LOGO1";"SFE_LOGO_FLAME_.2";1;"SFE_LOGO_FLAME.2_INCH";;;
