"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"B0";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"B1";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"B2";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"B3";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"B4";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"B5";"CON_JST_XH_2PIN-SM4";"CON_JST_XH_2PIN-SM4";"JST-XH-2-SM4";"";"";"";"";"";"";
"C1";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"CONN1";"HEADER-1X25";"HEADER-1X25";"1X25_ROUND_70MIL";"";"";"";"";"";"";
"D1";"red";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"IC1";"MCP23017ML";"MCP23017ML";"QFN28-ML_6X6MM";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"";"MICROCHIP";"MCP23017-E/SS";"1467674";"31K2960";
"IC2";"LM339P";"LM339P";"TSSOP14";"Low Power Low Offset Voltage Quad Comparators";"";"";"";"";"";
"JOY1";"";"HEADER-1X5";"1X05_OVAL";"PIN HEADER";"";"";"";"";"";
"JP1";"";"HEADER-1X4";"1X04_OVAL";"PIN HEADER";"";"";"";"";"";
"JP2";"";"HEADER-1X3ROUND";"1X03_ROUND";"PIN HEADER";"";"";"";"";"";
"JP3";"";"HEADER-1X3ROUND";"1X03_ROUND";"PIN HEADER";"";"";"";"";"";
"JP4";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"JP6";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"JP7";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"JP8";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"JP9";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"JP10";"";"HEADER-1X2";"1X02_OVAL";"PIN HEADER";"";"";"";"";"";
"R1";"10K";"RESISTOR0805_10MGAP";"0805_10MGAP";"Resistors";"";"";"";"";"";
"R2";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";
"R3";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";
"R4";"1M";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R5";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"RPI1";"RASPBERRYPI_BPLUS_PHAT";"RASPBERRYPI_BPLUS_PHAT";"PI_BONNET";"";"";"";"";"";"";
"SJ1";"ADDR";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";"";"";"";"";
"SJ2";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";"";
"SPKR";"3.5mm";"TERMBLOCK_1X2";"TERMBLOCK_1X2-3.5MM";"3.5mm Terminal block";"";"";"";"";"";
"U1";"MAX98357A";"AUDIOAMP_MAX98357";"QFN16_3MM";"MAX98357 - 3.2W I2S Mono Audio Amp";"";"";"";"";"";
