"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1µF";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C2";"1µF";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C3";"1µF";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C4";"10µF";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C5";"10µF";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"FB1";"";"FERRITE_0805";"_0805";"Ferrite Bead";"";
"FB2";"";"FERRITE_0805";"_0805";"Ferrite Bead";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"IC1";"LS013B4DN04";"SHARP_MEMORYLCD_10PIN";"FPC_10PIN_52892-1095";"Sharp Mono Memory LCD";"";
"JP1";"";"HEADER-1X970MIL";"1X09_ROUND_70";"PIN HEADER";"";
"R1";"10K";"RESISTOR_0805";"_0805";"Resistors";"";
"R2";"10K";"RESISTOR_0805";"_0805";"Resistors";"";
"R3";"10K";"RESISTOR_0805";"_0805";"Resistors";"";
"U$21";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";
"U$22";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";
"U$27";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";
"U$28";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";
"U1";"74HC4050D";"74HC4050D";"SOIC16";"6-channel level shifter";"";
"U2";"MCP1824T-3302E/OT";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
