"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
2;"H2,H1,H3,H4";"STAND-OFF";4;"STAND-OFF";;;
3;"J2";"1X04_NO_SILK";1;"";;;
4;"C6,C5,C10,C4";"0603";4;"1.0uF";;;
5;"FD2,FD1,FD3,FD4";"FIDUCIAL-MICRO";4;"FIDUCIALUFIDUCIAL";;;
6;"R6";"0603";1;"47k";;;
7;"J3,J5";"1X04_1MM_RA";2;"";;;
8;"R1";"0603";1;"10k";;;
9;"U$9";"(PWR)";1;"";;;
10;"C7";"0805";1;"1.0uF";;;
11;"U1";"SOT23-5";1;"AP3012";;;
12;"C1";"0603";1;"2.2uF";;;
13;"D2";"SOD-323";1;"1A/23V/620mV";;;
14;"U$3,U$19";"HUD1";2;"";;;
15;"U$5,U$13";"GND";2;"";;;
16;"U$8,U$11";"SCL";2;"";;;
17;"C2,C8";"0603";2;"4.7uF";;;
18;"R7";"0603";1;"5.6k";;;
19;"C9,C3";"0603";2;"0.1uF";;;
20;"U$2,U$18";"QWIIC0";2;"";;;
21;"U$6,U$12";"3V3";2;"";;;
22;"U$1,U$14";"#RST_";2;"";;;
23;"J1";"1X01_NO_SILK";1;"";;;
24;"D1";"LED-0603";1;"RED";;;
25;"J4";"SERIES6288";1;"WISECHIP_HUD_FPC";;;
26;"L1";"INDUCTOR_4.7UH";1;"10uH";;;
27;"LOGO4";"REVISION";1;"REVISION";;;
28;"R4,R2";"0603";2;"2.2k";;;
29;"U$7,U$10";"SDA";2;"";;;
30;"R5";"0603";1;"1k";;;
31;"LOGO3";"SFE_LOGO_FLAME_.1";1;"SFE_LOGO_FLAME.1_INCH";;;
32;"LOGO2";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
33;"LOGO1";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
34;"U$20";"(I_SUPER2_C)";1;"";;;
35;"JP1";"SMT-JUMPER_3_2-NC_TRACE_SILK";1;"";;;
