"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FRAME2";"CREATIVE_COMMONS";1;"FRAME-LEDGER";;;
2;"JP2";"1X01";1;"INT";;;
3;"JP1";"2X3";1;"FEMALE 2x3";;;
4;"STANDOFF3,STANDOFF2,STANDOFF5,STANDOFF1,STANDOFF4,STANDOFF6";"STAND-OFF";6;"STAND-OFF";;;
5;"LOGO6";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
6;"SJ3";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"A1";;;
7;"SJ5";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";;;
8;"R16";"3386U";1;"TSR-3386";;;
9;"LOGO1";"SFE_LOGO_NAME_FLAME_.2";1;"SFE_LOGO_NAME_FLAME.2_INCH";;;
10;"C7,C4";"0603-CAP";2;"2.2uF";;;
11;"R9,R31,R11,R23,R24,R21,R3,R13,R25";"0603-RES";9;"100";;;
12;"R17,R18,R6,R7,R5,R19,R8,R20";"0603-RES";8;"1K";;;
13;"R33,R1,R30,R32,R34";"0603-RES";5;"4.7K";;;
14;"SJ1";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";1;"A0";;;
15;"U108,U106,U107,U101,U102,U103,U104,U105";"QRE1113";8;"QRE1113";;;
16;"U5";"SOT223";1;"LM1117";;;
17;"C1,C3,C2";"0603-CAP";3;"1.0uF";;;
18;"Q1";"SOT323";1;"MOSFET-NCHANNEL2N7002PW";;;
19;"FID2,FID1";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
20;"D6,D3,D5,D8,D1,D2,D4,D7,D9";"LED-1206-BOTTOM";9;"Green";;;
21;"C8";"EIA3216";1;"10uF";;;
22;"U3";"SOT23-5";1;"3.3V/150mA";;;
23;"SJ2";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";1;"A1";;;
24;"LOGO2";"SFE_LOGO_NAME_.2";1;"SFE_LOGO_NAME.2_INCH";;;
25;"U1";"QFN-28";1;"SX1509";;;
26;"U6,U2";"SO14";2;"74AC125";;;
27;"R2";"0603-RES";1;"330";;;
28;"R28,R22,R12,R26,R14,R10,R4,R27";"0603-RES";8;"68.1k";;;
29;"LOGO5";"SFE_LOGO_FLAME_.3";1;"SFE_LOGO_FLAME.3_INCH";;;
30;"C5,C6";"0603-CAP";2;"470pF";;;
