"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,C5,R3,R2,C4,C3,R4,C6,R1";"_PKG_C_0603";9;"";;;
2;"IC1";"SOT95P280X145-5N";1;"LDO-TLV70333DBVR";;;
3;"IC2";"SOIC127P1032X265-16N";1;"DS3231SN#";;;
4;"BR1,BR2";"SOP254P665X270-4N";2;"DIODE-RECTIFIER-MB6S";;;
5;"D1";"DIOM5126X250N";1;"DIODE-TVS-SMAJ58CA";;;
6;"MOD1";"EBYTE-E18-MS1PA1";1;"";;;
7;"C7";"_CAP_ELCO_D8_L10.5";1;"";;;
8;"CON1";"TC2050-IDC-NL";1;"";;;
9;"MOD2";"SILVERTEL_AG9800M";1;"";;;
10;"C2,C1";"_CAP_TANT_A_3216-18R";2;"";;;
11;"BAT1";"KEYSTONE_3001";1;"";;;
12;"MOD3";"RPI-HAT-FULL";1;"RPI-HAT-FULL";;;
13;"U$1";"ELECTROLAMA";1;"LOGO-ELECTROLAMA";;;
14;"TP13,TP7,TP11,TP12,TP10,TP15,TP5,TP14,TP9,TP8,TP1,TP6,TP2,TP4,TP16,TP3";"TP";16;"TP";;;
