"Part";"Value";"Device";"Package";"Description";"DESIGNER";"VERSION";
"FRAME1";"";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nathan Seidle";"v21";
"HEADERS";"";"M06POLAR";"MOLEX-1X6";"Header 6";"";"";
"JP1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"RJ11";"RJ11-6PTH";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"";"";
