"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R33,R32,R22,R20,R21,R29,R36,R30,R6,R34,R9,R31,R10,R19,R35";"0603-RES";15;"100k";;;
2;"TP5";"TP_15TH";1;"SWDIO/TMS";;;
3;"S3";"TACTILE-SWITCH-SMD";1;"User";;;
4;"C36,C32,C43,C41,C40,C33,C39,C46,C42,C30,C45,C44,C34,C38,C29";"0603-CAP";15;"1.0uF";;;
5;"R39,R38,R43,R41,R37,R42,R44,R40";"0603-RES";8;"10";;;
6;"C23,C19,C35,C53,C49,C31,C50,C15,C26,C47,C3,C4,C28,C22,C48,C51,C52,C37,C16,C17,C13,C21,C12,C18,C54,C10,C24,C8";"0603-CAP";28;"0.1uF";;;
7;"R7,R8";"0603-RES";2;"390";;;
8;"R4";"0603-RES";1;"15K";;;
9;"J9";"FTDI_DEVICE_SIDE";1;"FTDI_DEVICE";;;
10;"J8";"1X01_NO_SILK";1;"PLAYING";;;
11;"J4";"USB-B-MICRO-SMD_V03";1;"USB-MICROB"";;;
12;"J3";"1X01_NO_SILK";1;"DEBUG";;;
13;"C11,C5,C2,C6,C27";"0603-CAP";5;"10uF";;;
14;"R28,R26,R25,R24,R27";"0603-RES";5;"100";;;
15;"R14,R15";"0603-RES";2;"4.7K";;;
16;"R12,R11";"0603-RES";2;"240";;;
17;"TP8";"TP_15TH";1;"TDI";;;
18;"U3";"LQFP100";1;"ATSAMS70N20A-AN";;;
19;"FB2,FB1,FB3";"0603";3;"470";;;
20;"J6";"1X01_NO_SILK";1;"3.3VA";;;
21;"TP3";"TP_15TH";1;"AOUT5L";;;
22;"J13";"1X01_NO_SILK";1;"GND";;;
23;"FD2,FD1";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
24;"R48,R47,R46,R45";"0603-RES";4;"220";;;
25;"J14";"2X10";1;"AUDIO I/O";;;
26;"D1,D3";"SMA-DIODE";2;"MBRA140";;;
27;"L1";"0805";1;"10uH";;;
28;"TP9";"TP_15TH";1;"NRESET";;;
29;"U2,U1";"SOT223";2;"LM1117";;;
30;"TP1";"TP_15TH";1;"AIN2L";;;
31;"J11";"2X8";1;"TRIG1";;;
32;"J15";"1X05_NO_SILK";1;"MIDI";;;
33;"C20";"0603-CAP";1;"10pF";;;
34;"S4,S2";"TACTILE-PTH-SIDEEZ";2;"DNS";;;
35;"C25";"0603-CAP";1;"2.2uF";;;
36;"FRAME2,FRAME1";"CREATIVE_COMMONS";2;"FRAME-LEDGER";;;
37;"TP2";"TP_15TH";1;"AIN2R";;;
38;"Q1";"SOT23-3";1;"2.5A/30V";;;
39;"TP6";"TP_15TH";1;"SWCK/TCK";;;
40;"J5";"2X5-PTH-1.27MM";1;"CORTEX_DEBUGPTH";;;
41;"R18,R3,R23";"0603-RES";3;"10K";;;
42;"TP4";"TP_15TH";1;"AOUT5R";;;
43;"TP7";"TP_15TH";1;"TDO";;;
44;"S1";"TACTILE-SWITCH-SMD";1;"Reset";;;
45;"U5";"SOT23-5";1;"74AHC1G125";;;
46;"U4";"LQFP-48";1;"AK4618VQ";;;
47;"H1,H4,H2,H3";"STAND-OFF";4;"STAND-OFF";;;
48;"J7";"1X01_NO_SILK";1;"3.3V";;;
49;"C1";"0603-CAP";1;"10nF";;;
50;"Y1";"CRYSTAL-OSC-SMD-5X3";1;"11.2896 MHz";;;
51;"J12";"MICRO-SD-SOCKET-SDIO";1;"USD-SDIO-SOCKET";;;
52;"R13";"0603-RES";1;"330";;;
53;"R5";"0603-RES";1;"22K";;;
54;"R1";"0603-RES";1;"33";;;
55;"LOGO4";"SFE_LOGO_NAME_FLAME_.2";1;"SFE_LOGO_NAME_FLAME.2_INCH";;;
56;"C14";"0603-CAP";1;"4.7uF";;;
57;"J1";"1X02";1;"VDC-IN";;;
58;"J10";"2X8";1;"TRIG2";;;
59;"J2";"1X02";1;"GND-IN";;;
60;"C7,C9";"0603-CAP";2;"12pF";;;
61;"R16";"0603-RES";1;"2.2";;;
62;"U6";"8-SMD";1;"6N138M";;;
63;"R2";"0603-RES";1;"1M";;;
64;"R17";"0603-RES";1;"5.62k";;;
65;"D2";"LED-0603";1;"BLUE";;;
66;"JP2,JP1,JP3";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";3;"JUMPER-PAD-2-NC_BY_TRACENO_SILK";;;
67;"LOGO1";"SFE_LOGO_NAME_.2";1;"SFE_LOGO_NAME.2_INCH";;;
