"Part";"Value";"Device";"Package";"Description";"DKPART";"MFR";"MFRPART";"PROD_ID";"VALUE";
"C28";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C29";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C30";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C31";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C32";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C33";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C34";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C35";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C36";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C37";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C38";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C39";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C40";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C41";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C42";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C43";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C44";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C45";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C46";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"CAP-00868";"1.0uF";
"C47";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C48";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C49";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C50";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C51";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C52";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C53";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"C54";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"CAP-08604";"0.1uF";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"";"";"DIO-08053";"MBRA140";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"";"DIO-08575";"BLUE";
"D3";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"";"";"DIO-08053";"";
"FB1";"470";"INDUCTOR0603";"0603";"Inductors";"";"";"";"NDUC-12579";"";
"FB2";"470";"INDUCTOR0603";"0603";"Inductors";"";"";"";"NDUC-12579";"";
"FB3";"470";"INDUCTOR0603";"0603";"Inductors";"";"";"";"NDUC-12579";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"J1";"VDC-IN";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"J2";"GND-IN";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"J3";"DEBUG";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";
"J4";"USB-MICROB"";"USB-MICROB"";"USB-B-MICRO-SMD_V03";"";"";"";"";"CONN-11752";"";
"J5";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";"";"";"";
"J6";"3.3VA";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";
"J7";"3.3V";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";
"J8";"PLAYING";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";
"J9";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";"";
"J10";"TRIG2";"M08X2";"2X8";".1" headers, two rows of 8 each";"";"";"";"";"";
"J11";"TRIG1";"M08X2";"2X8";".1" headers, two rows of 8 each";"";"";"";"";"";
"J12";"USD-SDIO-SOCKET";"USD-SDIO-SOCKET";"MICRO-SD-SOCKET-SDIO";"microSD Socket";"";"";"";"CONN-07820";"";
"J13";"GND";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";
"J14";"AUDIO I/O";"M10X2";"2X10";"This was SPECIALLY designed to be used with our Graphic LCD Backpack.  Be sure you want to use this!  It is not only staggered on each line of header holes, but IT IS ALSO offset of the center point of the top and bottom lines by 5 mil.  This causes the headers to lock into place on the "standard" footprint on the LCD screen.  The extra squares on the tdocu layer are there simply to reference other pins (if you were to actually populate a longer header than ten long - this is what we do with the backpacks).";"";"";"";"";"";
"J15";"MIDI";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";"";"";
"JP1";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";"";"";
"JP2";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";"";"";
"JP3";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";"";"";
"L1";"10uH";"INDUCTOR0805";"0805";"Inductors";"";"";"";"NDUC-13231";"";
"LOGO1";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SFE Logo, name only";"";"";"";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"";"";"";"TRANS-11308";"2.5A/30V";
"R1";"33";"33OHM1/10W1%(0603)";"0603-RES";"RES-08270";"";"";"";"RES-08270";"33";
"R2";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"";"";"";"RES-07868";"1M";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"RES-00824";"10K";
"R4";"15K";"15KOHM1/10W1%(0603)0603";"0603-RES";"RES-07854";"";"";"";"RES-07854";"15K";
"R5";"22K";"22KOHM1/10W1%(0603)";"0603-RES";"RES-07853";"";"";"";"RES-07853";"22K";
"R6";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R7";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"";"";"";"RES-07864";"390";
"R8";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"";"";"";"RES-07864";"390";
"R9";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R10";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R11";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"";"";"RES-07849";"240";
"R12";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"";"";"RES-07849";"240";
"R13";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"";"";"RES-00818";"330";
"R14";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"";"RES-07857";"4.7K";
"R15";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"";"RES-07857";"4.7K";
"R16";"2.2";"2.2OHM-1/10W-5%(0603)";"0603-RES";"RES-07823";"";"";"";"RES-07823";"2.2";
"R17";"5.62k";"5.62KOHM1/10W1%(0603)";"0603-RES";"RES-09823";"";"";"";"RES-09823";"5.62k";
"R18";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"RES-00824";"10K";
"R19";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R20";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R21";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R22";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R23";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"RES-00824";"10K";
"R24";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"RES-07863";"100";
"R25";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"RES-07863";"100";
"R26";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"RES-07863";"100";
"R27";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"RES-07863";"100";
"R28";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"RES-07863";"100";
"R29";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R30";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R31";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R32";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R33";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R34";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R35";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R36";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"RES-07828";"100k";
"R37";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R38";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R39";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R40";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R41";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R42";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R43";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R44";"10";"10OHM-1/10W-1%(0603)SMD";"0603-RES";"RES-12581";"";"";"";"RES-12581";"10";
"R45";"220";"220OHM-1/10W-1%(0603)";"0603-RES";"RES-07861";"";"";"";"RES-07861";"220";
"R46";"220";"220OHM-1/10W-1%(0603)";"0603-RES";"RES-07861";"";"";"";"RES-07861";"220";
"R47";"220";"220OHM-1/10W-1%(0603)";"0603-RES";"RES-07861";"";"";"";"RES-07861";"220";
"R48";"220";"220OHM-1/10W-1%(0603)";"0603-RES";"RES-07861";"";"";"";"RES-07861";"220";
"S1";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"";"";"SWCH-08247";"";
"S2";"DNS";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";
"S3";"User";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"";"";"SWCH-08247";"";
"S4";"DNS";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";
"TP1";"AIN2L";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP2";"AIN2R";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP3";"AOUT5L";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP4";"AOUT5R";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP5";"SWDIO/TMS";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP6";"SWCK/TCK";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP7";"TDO";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP8";"TDI";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP9";"NRESET";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"U1";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"VREG-08170";"";
"U2";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"VREG-08170";"";
"U3";"ATSAMS70N20A-AN";"ATSAMS70NXXA-AN";"LQFP100";"";"";"";"";"IC-13238";"";
"U4";"AK4618VQ";"AK4618VQSFE-PACKAGE";"LQFP-48";"";"";"";"";"IC-13239";"";
"U5";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"";"";"";"IC-11920";"";
"U6";"6N138M";"OPTO_DARL_6N138S";"8-SMD";"Optoisolator, darlington pair output";"";"";"";"IC-09482";"6N138M";
"Y1";"11.2896 MHz";"CRYSTAL-11.2896";"CRYSTAL-OSC-SMD-5X3";"";"887-2353-1-ND";"txc";"7B-11.2896MAAE-T";"XTAL-13463";"11.2896 MHz";
