"Part";"Value";"Device";"Package";"Description";"DKPART";"MFR";"MFRPART";"PROD_ID";"VALUE";
"C1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"";"";"CAP-00867";"10nF";
"C2";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"CAP-11015";"10uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C5";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"CAP-11015";"10uF";
"C6";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"CAP-11015";"10uF";
"C7";"12pF";"12PF-50V-5%(0603)";"0603-CAP";"CAP-09137";"";"";"";"CAP-09137";"12pF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C9";"12pF";"12PF-50V-5%(0603)";"0603-CAP";"CAP-09137";"";"";"";"CAP-09137";"12pF";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C11";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"CAP-11015";"10uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C14";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"";"";"CAP-08280";"4.7uF";
"C15";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C16";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C17";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C18";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C19";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C20";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"";"";"";"CAP-11812";"10pF";
"C21";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C22";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C23";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C24";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C25";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"";"";"";"CAP-07888";"2.2uF";
"C26";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"CAP-00810";"0.1uF";
"C27";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"CAP-11015";"10uF";
