"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C3";"10uF";"CAP0805";"0805";"Capacitor";"";"";"CAP-11330";"";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C8";"22uF";"22UF-6.3V-20%(0805)";"0805";"CAP-08402";"";"";"CAP-08402";"22uF";
"C9";"9.0pF";"9.0PF-50V-10%(0603)";"0603-CAP";"CAP-09341";"";"";"CAP-09341";"9.0pF";
"C10";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"";"CAP-08280";"4.7uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"0.1uF";
"C12";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C13";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"D1";"BAT20J";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diodes in SFE's production catalog";"";"";"DIO-11623";"BAT20J";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"DIO-08575";"BLUE";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"RES-11150";"";
