"Part";"Value";"Device";"Package";"Description";"";
"ACT";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"C1";"10uF/10V";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";
"C2";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"IC1";"4050D";"4050D";"SO16";"Hex non-inverting BUFFER";"";
"IC2";"LP298XS";"LP298XS";"SOT23-5L";"";"";
"JP1";"";"PINHD-1X8BIG";"1X08-BIG";"PIN HEADER";"";
"R1";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"X1";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";
